code_insee,prefixe,section,numero,geojson,min_lon,min_lat,max_lon,max_lat,surface_m2
31555,806,AB,139,"{""type"":""Polygon"",""coordinates"":[[[1.4526026,43.6122651],[1.4529689,43.6116492],[1.4534347,43.6107847],[1.4534472,43.6106865],[1.4536308,43.6103209],[1.4536819,43.6102383],[1.4537292,43.6101746],[1.4537805,43.6101061],[1.4538407,43.6100311],[1.4539165,43.6099629],[1.4539643,43.6099187],[1.4540368,43.6098514],[1.4541771,43.6097587],[1.4542899,43.6096841],[1.4543023,43.6096776],[1.4543188,43.6096743],[1.4543335,43.6096741],[1.4543464,43.6096792],[1.4543575,43.609685],[1.4545318,43.6098039],[1.4546818,43.6099035],[1.4548727,43.6100307],[1.4548827,43.6100403],[1.4548879,43.6100467],[1.4548911,43.6100554],[1.4548922,43.6100641],[1.4548911,43.6100824],[1.4548591,43.6103608],[1.454848,43.6103966],[1.4548148,43.610493],[1.4548023,43.6106056],[1.4548006,43.6106524],[1.454803,43.6106903],[1.454813,43.6107204],[1.4548221,43.610738],[1.4548282,43.6107508],[1.4548636,43.6107856],[1.4548658,43.6107874],[1.4548319,43.6108171],[1.4550789,43.610991],[1.4550865,43.6109999],[1.4550754,43.611009],[1.4550409,43.6110154],[1.4550395,43.6110113],[1.4550389,43.6110102],[1.4550378,43.6110094],[1.4550366,43.6110089],[1.4550351,43.6110087],[1.4550335,43.6110087],[1.4550217,43.6110108],[1.4550203,43.6110068],[1.4550186,43.6110027],[1.4550163,43.6109985],[1.4550137,43.6109946],[1.4550106,43.6109908],[1.4550072,43.6109872],[1.4550033,43.6109838],[1.4549992,43.6109806],[1.4549947,43.6109778],[1.4549898,43.6109752],[1.4549847,43.6109728],[1.4549794,43.6109708],[1.4549739,43.610969],[1.4549682,43.6109676],[1.4549623,43.6109665],[1.4549564,43.6109658],[1.4549503,43.6109653],[1.4549444,43.6109653],[1.4549383,43.6109656],[1.4549323,43.6109662],[1.4549265,43.6109672],[1.4549206,43.6109685],[1.4549151,43.6109701],[1.4549096,43.610972],[1.4549045,43.6109743],[1.4548996,43.6109769],[1.4548949,43.6109798],[1.4548906,43.6109828],[1.4548867,43.6109862],[1.4548832,43.6109898],[1.45488,43.6109935],[1.4548773,43.6109973],[1.4548749,43.6110014],[1.4548731,43.6110055],[1.4548716,43.6110098],[1.4548706,43.6110141],[1.4548701,43.6110186],[1.4548701,43.611023],[1.4548707,43.6110273],[1.4548717,43.6110316],[1.4548733,43.6110366],[1.4550546,43.6115444],[1.4550627,43.6115429],[1.4550776,43.6115844],[1.4551065,43.6115791],[1.455119,43.6116157],[1.4552106,43.6115985],[1.4552114,43.6116007],[1.4552293,43.6116483],[1.4552387,43.6116754],[1.4552582,43.6117256],[1.4552536,43.6117265],[1.4551652,43.6117438],[1.4552063,43.611858],[1.4552074,43.6118608],[1.4552736,43.6120446],[1.4553003,43.6121152],[1.4553003,43.6121175],[1.4553459,43.6121243],[1.4553489,43.6121303],[1.4553961,43.6121375],[1.4553983,43.6121308],[1.4554054,43.612132],[1.4554034,43.6121387],[1.4555602,43.6121627],[1.4555618,43.6121569],[1.4555707,43.6121574],[1.4555704,43.6121583],[1.4555687,43.612164],[1.4556719,43.6121801],[1.4556909,43.6121655],[1.4557987,43.6121497],[1.4561398,43.6121007],[1.4561623,43.6121024],[1.4561898,43.6121044],[1.4562143,43.6121074],[1.4562469,43.6121102],[1.4562507,43.6121105],[1.4563212,43.6121594],[1.4563301,43.6121892],[1.4563542,43.6122699],[1.4563749,43.6123386],[1.456025,43.6142401],[1.4560114,43.6143143],[1.4559256,43.6147797],[1.4559222,43.6147989],[1.4557777,43.6148614],[1.4557013,43.6148946],[1.4556882,43.6148966],[1.4556725,43.6148994],[1.4556494,43.6148997],[1.4552892,43.6148304],[1.4550853,43.6147912],[1.4548056,43.6147375],[1.4546139,43.6147005],[1.4545862,43.6146953],[1.454561,43.6146904],[1.4540826,43.6145984],[1.454061,43.6145989],[1.4540351,43.614603],[1.4540175,43.6146123],[1.4540074,43.6146196],[1.453995,43.6146295],[1.4538045,43.6149458],[1.4537341,43.6150629],[1.4534173,43.6155892],[1.4533099,43.6157677],[1.4532019,43.6158497],[1.4530716,43.6158536],[1.4530224,43.6159814],[1.4526001,43.6156135],[1.4526473,43.6154742],[1.4526125,43.6154434],[1.4526578,43.6152962],[1.4526694,43.6152586],[1.4526677,43.6152335],[1.4526628,43.6151632],[1.4526598,43.6151207],[1.4526563,43.6150723],[1.4526555,43.6150614],[1.4526551,43.6150563],[1.4526382,43.6150292],[1.4525999,43.6149683],[1.4525695,43.6149198],[1.4525531,43.6148938],[1.4525023,43.6148127],[1.4524493,43.6147281],[1.45243,43.6147413],[1.4524069,43.6147571],[1.4522808,43.614709],[1.4522945,43.6146877],[1.4523027,43.6146617],[1.4523041,43.6146575],[1.4523131,43.6146202],[1.452298,43.6146061],[1.4522424,43.6145626],[1.4522168,43.6145489],[1.4521035,43.614497],[1.4520903,43.6144907],[1.4520676,43.6144796],[1.4520371,43.6144666],[1.4519718,43.6144169],[1.4519616,43.6144092],[1.4519516,43.6144008],[1.4519361,43.6143892],[1.4519167,43.6143748],[1.4518909,43.6143553],[1.451877,43.6143451],[1.4518735,43.614322],[1.4518721,43.6143011],[1.4518701,43.6142716],[1.4518686,43.6142518],[1.4518613,43.6141456],[1.45186,43.614126],[1.4518512,43.614001],[1.4519548,43.6139355],[1.4520233,43.6138898],[1.4520491,43.6138955],[1.4520724,43.613928],[1.4520815,43.613942],[1.4520874,43.6139558],[1.4520905,43.6139698],[1.4520907,43.6139801],[1.4520826,43.6142224],[1.4520866,43.6142587],[1.4520961,43.614295],[1.4521463,43.614362],[1.4521932,43.6143984],[1.4522178,43.6144109],[1.4522908,43.6144445],[1.4523038,43.6144524],[1.4523194,43.6144618],[1.4523666,43.6142928],[1.4524449,43.614011],[1.4524539,43.6139792],[1.4527114,43.6130544],[1.4528796,43.6124518],[1.4528921,43.6124077],[1.4528817,43.6123833],[1.4528677,43.6123526],[1.4526026,43.6122651]],[[1.452528,43.6145726],[1.4527255,43.6146013],[1.4527267,43.6145967],[1.4528007,43.6143289],[1.4526032,43.6143001],[1.452528,43.6145726]],[[1.4547494,43.6111075],[1.4547337,43.6112223],[1.4547165,43.6113421],[1.4546977,43.6114405],[1.4544585,43.6122894],[1.4544064,43.6124726],[1.4542114,43.6131125],[1.454176,43.6132566],[1.4540816,43.6136038],[1.4540605,43.6136682],[1.4540247,43.6136632],[1.4539139,43.6139722],[1.4538387,43.6141958],[1.4537952,43.614335],[1.4537468,43.6144583],[1.4537426,43.6144667],[1.4537576,43.6144712],[1.4538652,43.6142978],[1.4539331,43.6141856],[1.4539815,43.6141002],[1.454041,43.6139868],[1.4541094,43.6138497],[1.4541515,43.613757],[1.4542133,43.613601],[1.4542696,43.6134356],[1.4544515,43.6127768],[1.4546061,43.6121932],[1.454721,43.6117421],[1.4547422,43.6115681],[1.454762,43.611392],[1.4547613,43.6110269],[1.4547516,43.6110265],[1.4547494,43.6111075]]]}",1.4518512,43.6096741,1.4563749,43.6159814,125562
31555,806,AD,679,"{""type"":""Polygon"",""coordinates"":[[[1.455596,43.611076],[1.4556257,43.6110671],[1.4556131,43.6108418],[1.4556066,43.6107949],[1.4555959,43.6107586],[1.4549989,43.610359],[1.4550122,43.610277],[1.4550153,43.6102666],[1.4550315,43.6102339],[1.4550587,43.6102054],[1.4554052,43.6099323],[1.4554761,43.6098935],[1.4555614,43.6098755],[1.4557151,43.6098829],[1.4558623,43.6099154],[1.4560037,43.6099821],[1.4562196,43.6101263],[1.4562808,43.6101675],[1.4562771,43.610187],[1.4561774,43.6102657],[1.4561341,43.6102997],[1.4561395,43.6103031],[1.4556623,43.6106796],[1.4556663,43.6107522],[1.4556713,43.6108421],[1.4556716,43.6108484],[1.4556863,43.6111117],[1.4557114,43.6111536],[1.4556206,43.6110927],[1.455596,43.611076]]]}",1.4549989,43.6098755,1.4562808,43.6111536,6036
31555,806,AD,10,"{""type"":""Polygon"",""coordinates"":[[[1.4564594,43.6096684],[1.4565629,43.6097147],[1.4564987,43.6098001],[1.4564865,43.6098163],[1.4564835,43.6098201],[1.4563847,43.6099513],[1.4563587,43.6099861],[1.4563272,43.6100276],[1.4562344,43.6099665],[1.4564095,43.6097344],[1.4564594,43.6096684]]]}",1.4562344,43.6096684,1.4565629,43.6100276,385
31555,806,AD,7,"{""type"":""Polygon"",""coordinates"":[[[1.4562873,43.6095913],[1.4562214,43.6096801],[1.4561923,43.6097192],[1.456142,43.6097871],[1.4560935,43.6098521],[1.4560828,43.6098666],[1.4560277,43.6098302],[1.4560361,43.6098189],[1.4560705,43.6097725],[1.4560783,43.609762],[1.4561321,43.6096896],[1.4561399,43.6096793],[1.4562257,43.6095637],[1.4562873,43.6095913]]]}",1.4560277,43.6095637,1.4562873,43.6098666,200
31555,806,AD,5,"{""type"":""Polygon"",""coordinates"":[[[1.456075,43.6094962],[1.4561636,43.6095359],[1.4560911,43.6096297],[1.4560668,43.6096613],[1.4560467,43.6096872],[1.455975,43.6096551],[1.455959,43.6096481],[1.4560021,43.6095918],[1.4560169,43.6095723],[1.456075,43.6094962]]]}",1.455959,43.6094962,1.4561636,43.6096872,160
31555,806,AD,660,"{""type"":""Polygon"",""coordinates"":[[[1.456075,43.6094962],[1.4560169,43.6095723],[1.4560021,43.6095918],[1.455959,43.6096481],[1.45589,43.6096074],[1.4558646,43.6095924],[1.455828,43.6095711],[1.4557279,43.6095116],[1.4557702,43.6093937],[1.4557926,43.6093699],[1.4559544,43.6094423],[1.456075,43.6094962]]]}",1.4557279,43.6093699,1.456075,43.6096481,456
31555,806,AD,544,"{""type"":""Polygon"",""coordinates"":[[[1.4563943,43.6093299],[1.4564014,43.6093149],[1.4564318,43.6092398],[1.4565095,43.6092423],[1.4565044,43.6092588],[1.4564765,43.6093252],[1.4564712,43.6093377],[1.4564416,43.6094094],[1.4564283,43.6094424],[1.4564245,43.6094556],[1.4564126,43.6094815],[1.4563825,43.6095504],[1.4563123,43.6095188],[1.4563531,43.6094258],[1.4563943,43.6093299]]]}",1.4563123,43.6092398,1.4565095,43.6095504,203
31555,806,AD,545,"{""type"":""Polygon"",""coordinates"":[[[1.4563943,43.6093299],[1.4563531,43.6094258],[1.4563123,43.6095188],[1.4562082,43.6094719],[1.4562532,43.6093732],[1.4562691,43.609339],[1.4562852,43.6093057],[1.4563442,43.6093188],[1.4563943,43.6093299]]]}",1.4562082,43.6093057,1.4563943,43.6095188,187
31555,806,AD,525,"{""type"":""Polygon"",""coordinates"":[[[1.4563943,43.6093299],[1.4563442,43.6093188],[1.4562852,43.6093057],[1.4563009,43.6092693],[1.4563495,43.6092698],[1.4563726,43.6091779],[1.4563985,43.6090889],[1.4565556,43.6090808],[1.4565207,43.6091988],[1.4565188,43.6092049],[1.4565095,43.6092423],[1.4564318,43.6092398],[1.4564014,43.6093149],[1.4563943,43.6093299]]]}",1.4562852,43.6090808,1.4565556,43.6093299,282
31555,806,AD,546,"{""type"":""Polygon"",""coordinates"":[[[1.4562852,43.6093057],[1.4562691,43.609339],[1.4562532,43.6093732],[1.4562082,43.6094719],[1.4561194,43.609432],[1.4561586,43.6093479],[1.4561936,43.6092683],[1.456235,43.6092688],[1.4562898,43.6092692],[1.4563009,43.6092693],[1.4562852,43.6093057]]]}",1.4561194,43.6092683,1.4563009,43.6094719,173
